Domaine	Fonctionnalité	Gusto	Gaméasù	Statut
Personnel	Profils collaborateurs (infos personnelles, poste, département)	✅	✅	Présent
Personnel	Organigramme dynamique	✅	❌	Absent
Personnel	Historique des postes / mobilité interne	✅	❌	Absent
Personnel	Statuts d'emploi (CDI, CDD, freelance, essai)	✅	Partiel (champ libre)	Partiel
Personnel	Gestion des managers / hiérarchie N+1	✅	❌	Absent
Onboarding	Workflow onboarding digital + checklist	✅	Partiel (recrutement → collab)	Partiel
Onboarding	Signature électronique des documents	✅	❌	Absent
Onboarding	Accueil personnalisé pour le nouvel arrivant	✅	❌	Absent
Onboarding	Provisioning accès outils	✅	❌	Absent
Documents	Stockage contrats & documents RH	✅	❌	Absent
Documents	Génération automatique de contrats	✅	❌	Absent
Documents	Lettres d'offre / promesse d'embauche	✅	❌	Absent
Documents	Coffre-fort numérique employé	✅	❌	Absent
Paie	Calcul de paie (salaire brut → net)	✅	✅	Présent
Paie	Virement direct / Ordre de paiement	✅	Partiel	Partiel
Paie	Paie hors-cycle (prime, régularisation)	✅	❌	Absent
Paie	Multi-devises / multi-pays	✅	Partiel (XOF uniquement)	Partiel
Bulletins	Génération automatique des bulletins	✅	✅	Présent
Bulletins	Accès employé à ses propres bulletins	✅	❌	Absent
Bulletins	Historique bulletins sur N années	✅	Partiel	Partiel
Taxes	Calcul cotisations patronales / salariales	✅	Partiel (SYSCOHADA)	Partiel
Taxes	Déclarations fiscales automatiques	✅	❌	Absent
Taxes	Gestion des exonérations / tranches	✅	❌	Absent
Congés	Politique de congés paramétrable	✅	❌	Absent
Congés	Demande de congé + workflow approbation	✅	❌	Absent
Congés	Compteur solde de congés en temps réel	✅	❌	Absent
Congés	Congés maladie, maternité/paternité	✅	❌	Absent
Congés	Calendrier des absences équipe	✅	❌	Absent
Pointage	Clock-in / clock-out	✅	✅	Présent
Pointage	Kiosk tablette avec photo	✅	✅	Présent
Pointage	Géolocalisation GPS	✅	✅	Présent
Pointage	Détection automatique d'anomalies	✅	✅	Présent
Pointage	Rapport heures par projet	✅	Partiel	Partiel
Pointage	Feuilles de temps approbation manager	✅	❌	Absent
Avantages	Assurance santé	✅	❌	Absent
Avantages	Épargne retraite / mutuelle	✅	❌	Absent
Avantages	Notes de frais	✅	❌	Absent
Self-service	Portail employé (bulletins, congés, docs)	✅	Partiel (pointage seul)	Partiel
Self-service	Mise à jour infos personnelles	✅	❌	Absent
Self-service	Téléchargement attestations	✅	❌	Absent
Approbations	Workflow approbation multi-niveaux	✅	Partiel (module générique)	Partiel
Reporting	Dashboard présences / absences	✅	✅	Présent
Reporting	Rapport turnover / recrutement	✅	Partiel	Partiel
Reporting	Masse salariale par département	✅	Partiel (FP&A)	Partiel
Reporting	Indicateurs RH (headcount, diversité)	✅	❌	Absent
Conformité	Contrats conformes droit local	✅	❌	Absent
Conformité	Registre du personnel légal	✅	❌	Absent
Automatisation	Rappels contrats arrivant à expiration	✅	❌	Absent
Automatisation	Alertes période d'essai	✅	❌	Absent
Automatisation	Actions automatiques sur événements RH	✅	Partiel	Partiel
Notifs	Rappels RH (entretiens, évals, anniv.)	✅	Partiel	Partiel
